account,success,message
GBLYJUK7LATCHWF54LBFYVRW5CG7TR4P264BIKB23Y3A7KW3QUV4O4WB,false,No trustline to EVER
GBYJMSUYPHQWJSZL7AB6H5R55NF73SCL2T6TQLZNYD6NVZ5EQNHI7O2E,true,Success
GBYJMSUYPHQWJSZL7AB6H5R55NF73SCL2T6TQLZNYD6NVZ5EQNHI7O2E,true,Success
GBYJMSUYPHQWJSZL7AB6H5R55NF73SCL2T6TQLZNYD6NVZ5EQNHI7O2E,true,Success
GBLYJUK7LATCHWF54LBFYVRW5CG7TR4P264BIKB23Y3A7KW3QUV4O4WB,false,No trustline to EVER
GBYJMSUYPHQWJSZL7AB6H5R55NF73SCL2T6TQLZNYD6NVZ5EQNHI7O2E,true,Success
GBYJMSUYPHQWJSZL7AB6H5R55NF73SCL2T6TQLZNYD6NVZ5EQNHI7O2E,true,Success
GBYJMSUYPHQWJSZL7AB6H5R55NF73SCL2T6TQLZNYD6NVZ5EQNHI7O2E,true,Success
GBYJMSUYPHQWJSZL7AB6H5R55NF73SCL2T6TQLZNYD6NVZ5EQNHI7O2E,true,Success
GBLYJUK7LATCHWF54LBFYVRW5CG7TR4P264BIKB23Y3A7KW3QUV4O4WB,false,No trustline to EVER
GBYJMSUYPHQWJSZL7AB6H5R55NF73SCL2T6TQLZNYD6NVZ5EQNHI7O2E,true,Success
GBYJMSUYPHQWJSZL7AB6H5R55NF73SCL2T6TQLZNYD6NVZ5EQNHI7O2E,true,Success
